University,UG Programs,PG Programs
Beykent Üniversitesi,,
Bath Spa University,"Acting; Acting (Professional Placement Year); Art and Design with Integrated Foundation Year; Business and Management (Fashion); Business and Management (Fashion) (Professional Placement Year); Comedy; Comedy (Professional Placement Year); Commercial Music; Commercial Music (Professional Placement Year); Creative Arts Practice; Creative Arts Practice (Professional Placement Year); Dance; Dance (Professional Placement Year); Digital Animation; Digital Animation; Digital Animation (Professional Placement Year); Drama; Drama (Musical Theatre); Drama (Musical Theatre) (Professional Placement Year); Drama (Professional Placement Year); Drama (Writing for Performance); Drama (Writing for Performance) (Professional Placement Year); English Literature; English Literature (Professional Placement Year); Fashion Design; Fashion Design (Professional Placement Year); Fashion Photography; Fashion Photography (Professional Placement Year); Fine Art; Fine Art; Fine Art (Professional Placement Year); Furniture and Product Design; Furniture and Product Design; Furniture and Product Design (Professional Placement Year); Geography; Geography; Geography (Human); Geography (Human); Geography (Human) (Professional Placement Year); Geography (Physical); Geography (Physical); Geography (Physical) (Professional Placement Year); Geography (Professional Placement Year); History; History (Heritage and Public History); History (Heritage and Public History); History (Heritage and Public History) (Professional Placement Year); History (Professional Placement Year); History with Politics; History with Politics (Professional Placement Year); Interior Design; Interior Design (Professional Placement Year); Music; Music (Community Music); Music (Community Music) (Professional Placement Year); Music (Jazz); Music (Jazz) (Professional Placement Year); Music (Professional Placement Year); Music (Vocal Performance); Music (Vocal Performance) (Professional Placement Year); Philosophy and Ethics; Philosophy and Ethics (Professional Placement Year); Photography; Photography (Professional Placement Year); Textile Design for Fashion and Interiors; Textile Design for Fashion and Interiors (Professional Placement Year); Theatre and Digital Production; Theatre and Digital Production (Professional Placement Year); Business & Management (Marketing); Business & Management (Marketing); Business and Management; Business and Management; Business and Management (Accounting); Business and Management (Accounting) (Professional Practice Year); Business and Management (Entrepreneurship); Business and Management (Entrepreneurship); Business and Management (Entrepreneurship) (Professional Pratice Year); Business and Management (Festivals and Events); Business and Management (Festivals and Events); Business and Management (Festivals and Events) (Professional Practice Year); Business and Management (International Business); Business and Management (International Business) (Professional Placement Year); Business and Management (Marketing) (Professional Practice Year); Business and Management (Professional Practice Year); Fashion Marketing and Management; Fashion Marketing and Management (Professional Placement Year); Computing; Computing (Professional Placement Year); Creative Computing; Creative Computing (Animation); Creative Computing (Animation) (Professional Placement Year); Creative Computing (Gaming); Creative Computing (Gaming) (Professional Placement Year); Creative Computing (Web Technologies); Creative Computing (Web Technologies) (Professional Placement Year); Games Development; Biology; Biology (Conservation Biology); Biology (Conservation Biology) (Professional Placement Year); Biology (Human Biology); Biology (Human Biology) (Professional Placement Year); Biology (Microbiology); Biology (Microbiology) (Professional Placement Year); Biology (Professional Placement Year); Educational Psychology; Educational Psychology (Professional Placement Year); Food with Nutrition; Food with Nutrition; Food with Nutrition (Professional Placement Year); Forensic Psychology; Forensic Psychology (Professional Placement Year); Human Nutrition; Human Nutrition (Professional Placement Year); Psychology; Psychology (Professional Placement Year); Environmental Science; Environmental Science (Professional Placement Year); Wildlife Conservation; Wildlife Conservation (Professional Placement Year); Business & Management (Tourism Management); Business & Management (Tourism Management); Business & Management (Tourism Management) (Professional Practice Year); Business and Management (Human Resource Management); Business and Management (Human Resource Management) (Professional Practice Year); Business and Management (Law); Business and Management (Law); Business and Management (Law) (Professional Practice Year); Creative Media; Creative Media (Professional Placement Year); Creative Music Technology; Creative Music Technology (Games and Interactive Media); Creative Music Technology (Games and Interactive Media) (Professional Placement Year); Creative Music Technology (Professional Placement Year); Creative Writing; Creative Writing (Professional Placement Year); Criminology; Criminology (Professional Placement Year); Early Childhood Studies; Early Childhood Studies (Professional Placement Year); Education Secondary; Education Studies; Education Studies (Professional Placement Year); Education: Primary and Early Years; Educational Technology and Innovation; Educational Technology and Innovation (Professional Placement Year); Film and Screen Studies; Film and Screen Studies (Professional Placement Year); Film, Television and Digital Production; Film, Television and Digital Production (Professional Placement Year); Global Development and Sustainability; Global Development and Sustainability; Global Development and Sustainability (Professional Placement Year); Graphic Communication; Graphic Communication (Professional Placement Year); International Development and Education; International Development and Education (Professional Placement Year); Journalism and Publishing; Journalism and Publishing (Professional Placement Year); Law; Law; Law (Professional Placement Year); Media Communications; Media Communications (Professional Placement Year); Publishing; Publishing; Religions, Philosophies and Ethics; Religions, Philosophies and Ethics (Professional Placement Year); Sociology; Sociology; Sociology (Professional Placement Year); Sociology with Politics; Sociology with Politics (Professional Placement Year)",Arts Management (Taught); Arts Management (Taught); Circus: Directing Circus (Taught); Composition (Taught); Composition (Taught); Dance (Taught); Dance (Taught); Design (Ceramics) (Taught); Design (Ceramics) (Taught); Design (Fashion and Textiles) (Taught); Design (Fashion and Textiles) (Taught); English Literature (Taught); English Literature (Taught); Fine Art (Taught); Fine Art (Taught); History (Taught); History (Taught); Music Performance (Taught); Music Performance (Taught); Performing Shakespeare (Taught); Performing Shakespeare (Taught); Sound Arts (Taught); Sound Arts (Taught); Sound Design (Taught); Sound Design (Taught); Teaching English to Speakers of Other Languages (TESOL) (Taught); Teaching English to Speakers of Other Languages (TESOL) (Taught); Business and Management (Accounting) (Taught); Business and Management (Accounting) (Taught); Business and Management (Entrepreneurship) (Taught); Business and Management (Entrepreneurship) (Taught); Business and Management (International Business) (Taught); Business and Management (International Business) (Taught); Business and Management (Marketing) (Taught); Business and Management (Marketing) (Taught); Business and Management (Placement) (Taught); Business and Management (Placement) (Taught); Business and Management (Taught); Business and Management (Taught); Heritage Management (Taught); Heritage Management (Taught); Marketing and Brand Management (Taught); Marketing and Brand Management (Taught); Professional Practice (Taught); Professional Practice (Taught); Creative Computing (Taught); Creative Computing (Taught); Cyber Security (Taught); Cyber Security (Taught); Sound Production (Taught); Sound Production (Taught); Counselling and Psychotherapy Practice (Taught) (Full-time); Counselling and Psychotherapy Practice (Taught) (Part-time); Principles of Applied Neuropsychology (Taught); Principles of Applied Neuropsychology (Taught); Environmental Humanities (Taught); Environmental Humanities (Taught); Environmental Management (Taught); Environmental Management (Taught); Crime and Gothic Fictions (Taught); Professional Practice in Higher Education (Taught); Children's Publishing (Taught); Children's Publishing (Taught); Creative Producing (Taught); Creative Writing (Taught); Crime and Gothic Fictions (Taught); Curatorial Practice (Taught); Curatorial Practice (Taught); Education (Early Childhood Studies) (Taught); Education (Early Childhood Studies) (Taught); Education (Leadership and Management) (Taught); Education (Leadership and Management) (Taught); Educational Leadership (Teach First) (Taught); Feature Filmmaking (Taught); Feature Filmmaking (Taught); Inclusive Education (Taught); Inclusive Education (Taught); Professional Practice in Higher Education (Taught); Scriptwriting (Taught); Scriptwriting (Taught); Songwriting (Taught); Songwriting (Taught); Travel and Nature Writing (Taught); Travel and Nature Writing (Taught); Visual Communication (Taught); Visual Communication (Taught); Writing for Young People (Taught); Writing for Young People (Taught)
Brown University,Bachelor of Science in Linguistics; Bachelor of Science in Computer Science; Bachelor of Science in Engineering; Bachelor of Science in Computational Biology; Bachelor of Science in Geology/Biology; Bachelor of Science in Neuroscience; Bachelor of Science in Applied Mathematics; Bachelor of Science in Applied Mathematics - Biology; Bachelor of Science in Applied Mathematics - Computer Science; Bachelor of Science in Applied Mathematics - Economics; Bachelor of Science in Biostatistics; Bachelor of Science in Chemistry - Chemistry Track; Bachelor of Science in Geological Science; Bachelor of Science in Geology/Chemistry; Bachelor of Science in Geology/Physics/Math; Bachelor of Science in Mathematics; Combined Degree of BA/BS in Physics; Bachelor of Science in Social Analysis and Research; Bachelor of Science in Statistical Sciences,M.S. Program in Innovation Management and Entrepreneurship (PRIME); MA in Biostatistics; MS in Biostatistics; MS in Physics
Odessa I.I.Mechnikov National University,,
Skolkovo Institute of Science and Technology Skoltech,,Advanced Computational Science; Advanced Manufacturing Technologies; Data Science; Energy Systems; Internet of Things & Wireless Technologies; Petroleum Engineering; Space and Engineering Systems; Life Sciences; Materials Science; Mathematical and Theoretical Physics; Photonics and Quantum Materials
Centre Universitaire – Tindouf,Bachelor of Literary Studies; Bachelor of Information Systems; Bachelor of Chemistry; Bachelor of Applied Geology; Bachelor of Management; Bachelor of Public Law,Algerian literature; geodynamics; hydrogeology; Master of Human Resources Management; Master of Public Law
Hubert Humphrey Institute of Public Affairs,,
University of the South Pacific,,
Al-Yamamah University,,
Sydney Film School,,
