University,UG Programs,PG Programs
Hong Kong Shue Yan University,,
Norwegian University of Life Sciences,,
Ecole Nationale Supérieure d'Architecture de Paris-La Villette,,
Universidade Federal da Paraíba,,
Universidad Argentina John F. Kennedy,,
Cornell University,"Bachelor of Architecture (B.Arch.); Bachelor of Fine Arts (B.F.A.) in Art; Bachelor of Science in Environmental Engineering; Bachelor of Science in Fashion Design and Management; Bachelors of Arts in Archaeology; Bachelors of Arts in Classics; Bachelors of Arts in Comparative Literature; Bachelors of Arts in English; Bachelors of Arts in History; Bachelors of Arts in History of Art; Bachelors of Arts in Linguistics; Bachelors of Arts in Music; Bachelors of Arts in Philosophy; Bachelors of Arts in Romance Studies; Bachelors of Arts in Science and Technology Studies; Bachelors of Arts in Statistical Science; Bachelor of Science in Policy Analysis and Management; Bachelor of Science in Chemical Engineering; Bachelor of Science in Civil Engineering; Bachelor of Science in Electrical and Computer Engineering (BSECE); Bachelor of Science in Information Science; Bachelor of Science in Information Science, Systems, and Technology (ISST); Bachelor of Science in Mechanical Engineering; Bachelor of Science in Operations Research and Information Engineering; Bachelors of Arts in Computer Science; Bachelors of Arts in Information Science; Bachelors of Science in Computer Science; B.S. in Agricultural Sciences; B.S. in Animal Science; B.S. in Biology and Society; Bachelor of Science in Biological Engineering; Bachelor of Science in Biological Sciences; Bachelor of Science in Biomedical Engineering; Bachelor of Science in Entomology; Bachelor of Science in Global and Public Health Sciences; Bachelor of Science in Landscape Architecture; Bachelor of Science in Nutritional Sciences; Bachelor of Science in Plant Sciences; Bachelor of Science in Viticulture and Enology; Bachelors of Arts in Anthropology; Bachelors of Arts in Biological Sciences; Bachelors of Arts in Biology and Society; Bachelors of Arts in Feminist, Gender, and Sexuality Studies; Bachelors of Arts in Psychology; B.S. in Biometry and Statistics; Bachelor of Science in Atmospheric Science; Bachelor of Science in Design and Environmental Analysis; Bachelor of Science in Engineering Physics; Bachelor of Science in Environmental and Sustainability Sciences; Bachelor of Science in Materials Science and Engineering; Bachelor of Science in Science of Earth Systems; Bachelors of Arts in Astronomy; Bachelors of Arts in Chemistry and Chemical Biology; Bachelors of Arts in Mathematics; Bachelors of Arts in Physics; Bachelors of Arts in Science of Earth Systems; B.S. in Communication; Bachelor of Science in Applied Economics and Management; Bachelor of Science in Development Sociology; Bachelor of Science in Fiber Science; Bachelor of Science in Food Science; Bachelor of Science in Human Biology, Health and Society; Bachelor of Science in Human Development; Bachelor of Science in Interdisciplinary Studies; Bachelor of Science in International Agriculture and Rural Development; Bachelor of Science in Urban and Regional Studies; Bachelors of Arts in Africana Studies; Bachelors of Arts in American Studies; Bachelors of Arts in Asian Studies; Bachelors of Arts in China and Asia Pacific Studies; Bachelors of Arts in Economics; Bachelors of Arts in German Studies; Bachelors of Arts in Government; Bachelors of Arts in Near Eastern Studies; Bachelors of Arts in Performing and Media Arts; Bachelors of Arts in Religious Studies; Bachelors of Arts in Sociology",Combined Degree of Master Degree in Regional Planning (M.R.P.) and Landscape Architecture (M.L.A.); M.S. in Fiber Science; Master of Architecture (M.Arch); Master of Arts in Classics; Master of Engineering (M.Eng) in Civil and Environmental Engineering; Master of Engineering in Biological and Environmental Engineering; Master of Professional Studies in Real Estate; Master of Science (M.S.) in Architectural Science; Master of Science (M.S.) in Biological and Environmental Engineering; Master of Science (M.S.) in Civil and Environmental Engineering; Master of Science in Natural Resources; M.S. in Information Systems; Master of Engineering in Aerospace Engineering; Master of Engineering in Chemical Engineering; Master of Engineering in Computer Science; Master of Engineering in Electrical and Computer Engineering; Master of Engineering in Mechanical Engineering; Master of Engineering in Operations Research and Information Engineering; Master of Professional Studies (M.P.S) in Information Science; Master of Science (M.S.) in Computer Science; Master of Science (M.S.) in Information Systems; Master of Science in Chemical Engineering; M.S. in Entomology; M.S. in Mechanical Engineering; M.S. in Nutrition; M.S. in Plant Breeding; M.S. in Plant Pathology; M.S. in Soil and Crop Sciences; Master of Engineering (M.Eng.) in Biomedical Engineering; Master of Health Administration; Master of Landscape Architecture; Master of Professional Studies (MPS) in Human Ecology; Master of Professional Studies in Landscape Architecture; Master of Science (M.S.) in Animal Science; Master of Science (M.S.) in Ecology; Master of Science in Horticultural Biology; Master of Engineering (M.Eng.) in Materials Science and Engineering; Master of Engineering in Engineering Physics; Master of Engineering in Geological Sciences; Master of Science (M. S.) in Materials Science and Engineering; Master of Science (M.S.) in Applied Physics; Master of Science (M.S.) in Atmospheric Science; Master of Science (M.S.) in Environmental Toxicology; Master of Science (M.S.) in Geological Sciences; Executive Master of Human Resource Management; M.S. in Industrial and Labor Relations; Master of Arts in Regional Science; Master of Industrial and Labor Relations; Master of Professional Studies (M.P.S) in Industrial and Labor Relations; Master of Professional Studies (M.P.S) in International Development; Master of Public Administration; Master of Science (M.S.) in Applied Economics and Management; Master of Science (MS) in Hospitality Management; Master of Science in Regional Science
Wageningen University & Research,"BSc Animal Sciences; BSc Environmental Sciences; BSc International Land and Water Management; BSc Soil, Water, Atmosphere; BSc Tourism; BSc Food Technology","MSc Agroecology (European); MSc Animal Sciences; MSc Aquaculture and Marine Resource Management; MSc Biobased Sciences; MSc Biology; MSc Health Management in Aquaculture (Double degree); MSc Molecular Life Sciences; MSc Organic Agriculture; MSc Plant Biotechnology; MSc Plant Sciences; Online MSc Plant Breeding; MSc Biosystems Engineering; MSc Climate Studies; MSc Earth and Environment; MSc Environmental Sciences; MSc Forest and Nature Conservation; MSc Geo-information Science; MSc Geographical Information Management and Applications; MSc International Land and Water Management; MSc Landscape Architecture and Planning; MSc Metropolitan Analysis, Design and Engineering; MSc Urban Environmental Management; MSc Water Technology; MSc Communication, Health and Life Sciences; MSc Development and Rural Innovation; MSc International Development Studies; MSc Management, Economics and Consumer Studies; MSc Statistical Science for the Life and Behavioural Sciences; MSc Tourism, Society and Environment; MSc Bioinformatics; MSc Biotechnology; MSc Food Quality Management; MSc Food Safety; MSc Food Technology; MSc Nutrition and Health; Online MSC Food Technology; Online MSc Nutritional Epidemiology and Public Health"
Universidad de El Salvador - UES,,
Academy of Sciences of the Czech Republic,,
"Government College University, Faisalabad",,
Amsterdam Business School,,
School of Business and Management,,
Ataturk University,,
Universitas Amikom Yogyakarta,,
Ubonratchathani Rajabhat University ,,
Moscow State Conservatory P. I. Tchaikovsky,,
Swarthmore College,,
