University,UG Programs,PG Programs
Zhangir khan West Kazakhstan Agrarian Technical University,,
RMIT University,"Bachelor of Applied Science (Construction Management) (Honours); Bachelor of Applied Science (Project Management) (Honours); Bachelor of Architectural Design; Bachelor of Arts (Creative Writing); Bachelor of Arts (Music Industry); Bachelor of Arts (Photography); Bachelor of Arts (Photography) (Honours); Bachelor of Design (Animation and Interactive Media); Bachelor of Design (Communication Design); Bachelor of Design (Games); Bachelor of Fashion (Design) (Honours); Bachelor of Industrial Design (Honours); Bachelor of Textiles (Design) (Honours); Bachelor of Urban and Regional Planning (Honours); Bachelor of Accounting; Bachelor of Applied Science (Property and Valuation) (Honours); Bachelor of Business; Bachelor of Business (Honours); Bachelor of Business Professional Practice; Bachelor of Data Science; Bachelor of Laws/Bachelor of Business; Bachelor of Applied Science (Aviation); Bachelor of Applied Science (Aviation)/Bachelor of Business; Bachelor of Aviation (Pilot Training); Bachelor of Computer Science; Bachelor of Computer Science (Professional); Bachelor of Engineering (Automotive Engineering) (Honours); Bachelor of Engineering (Biomedical Engineering) (Honours); Bachelor of Engineering (Chemical Engineering) (Honours); Bachelor of Engineering (Civil and Infrastructure) (Honours); Bachelor of Engineering (Civil and Infrastructure) (Honours)/Bachelor of Business; Bachelor of Engineering (Computer and Network Engineering) (Honours)/Bachelor of Computer Science; Bachelor of Engineering (Electrical Engineering) (Honours); Bachelor of Engineering (Electronic and Computer Systems Engineering) (Honours); Bachelor of Engineering (Electronic and Computer Systems Engineering)(Honours)/Bachelor of Business; Bachelor of Engineering (Honours); Bachelor of Engineering (Mechanical Engineering) (Honours); Bachelor of Engineering (Mechanical Engineering) (Honours)/Bachelor of Business; Bachelor of Engineering (Mechanical Engineering) (Honours)/Bachelor of Industrial Design (Honours); Bachelor of Engineering (Sustainable Systems Engineering) (Honours); Bachelor of Geospatial Science (Honours); Bachelor of Information Technology; Bachelor of Information Technology (Professional); Bachelor of Science (Computer Science) (Honours); Bachelor of Software Engineering; Bachelor of Space Science; Bachelor of Surveying (Honours); Bachelor of Applied Science (Psychology) (Honours); Bachelor of Criminology and Psychology; Bachelor of Pharmaceutical Sciences (Honours); Bachelor of Psychology; Bachelor of Science; Bachelor of Science (Biotechnology); Bachelor of Science (Biotechnology)/Bachelor of Biomedical Science; Bachelor of Social Science (Psychology); Bachelor of Applied Mathematics and Statistics; Bachelor of Engineering (Environmental Engineering) (Honours); Bachelor of Environment and Society; Bachelor of Environmental Science; Bachelor of Environmental Science/Bachelor of Engineering (Environmental Engineering) (Honours); Bachelor of Environmental Science/Bachelor of Environment and Society; Bachelor of Food Technology and Nutrition; Bachelor of Food Technology and Nutrition/Bachelor of Business; Bachelor of Science (Applied Chemistry)/Bachelor of Engineering (Chemical Engineering) (Honours); Bachelor of Science (Nanotechnology)/Bachelor of Science (Applied Sciences); Bachelor of Arts (International Studies) (Honours); Bachelor of Communication (Advertising); Bachelor of Communication (Journalism); Bachelor of Communication (Media); Bachelor of Communication (Professional Communication); Bachelor of Communication (Public Relations); Bachelor of Criminal Justice; Bachelor of Design (Digital Media); Bachelor of Education; Bachelor of Health, Physical Education and Sport (Secondary); Bachelor of International Studies; Bachelor of Justice and Criminology (Honours); Bachelor of Laws; Bachelor of Legal and Dispute Studies; Bachelor of Media and Communication (Honours); Bachelor of Social Work (Honours); Bachelor of Social Work (Honours)/Bachelor of Social Science (Psychology); Bachelor of Youth Work and Youth Studies","Master of Animation, Games and Interactivity; Master of Applied Science (Built Environment); Master of Architecture; Master of Communication Design; Master of Design; Master of Design (Architecture & Design); Master of Design Futures; Master of Design Innovation and Technology; Master of Disaster, Design and Development; Master of Geospatial Science; Master of Landscape Architecture; Master of Translating and Interpreting; Master of Urban Planning and Environment; Master of Writing and Publishing; Master of Analytics; Master of Blockchain Enabled Business; Master of Business (Accountancy); Master of Business (Business & Law); Master of Business (Business Information Systems); Master of Business (Economics, Finance & Marketing); Master of Business (Supply Chain & Logistics); Master of Business Information Technology; Master of Data Science; Master of Finance; Master of Marketing; Master of Professional Accounting; Master of Project Management; Online Master of Data Science Strategy and Leadership; Online Master of Marketing; Master of Artificial Intelligence; Master of Cyber Security; Master of Engineering (Aerospace Engineering and Aviation); Master of Engineering (Aerospace); Master of Engineering (Chemical Engineering); Master of Engineering (Civil Engineering); Master of Engineering (Electrical and Electronic Engineering); Master of Engineering (Electronic Engineering); Master of Engineering (Environmental Engineering); Master of Engineering (International Automotive Engineering); Master of Engineering (Mechanical Engineering); Master of Engineering (Mechanical, Manufacturing and Mechatronic Engineering); Master of Information Technology; Master of Science (Aviation); Master of Science (Computer Science); Master of Applied Science (Health & Medical Physics); Master of Biotechnology; Master of Clinical Psychology; Master of Medical Physics; Master of Occupational Health and Safety; Master of Science (Applied Biology & Biotechnology); Master of Science (Psychology); Master of Energy Efficient and Sustainable Building; Master of Engineering (Sustainable Energy); Master of Food Science and Technology; Master of Science (Applied Chemistry); Master of Science (Applied Physics); Master of Science (Food Science); Master of Science (Geospatial Sciences); Master of Science (Mathematical Sciences); Master of Sustainable Practice; Juris Doctor; Master of Advertising; Master of Commerce; Master of Communication; Master of Design (Media & Communication); Master of Global Studies; Master of Justice and Criminology; Master of Media; Master of Property; Master of Public Policy; Master of Social Science (Global, Urban & Social Studies); Master of Social Work; Master of Statistics and Operations Research; Master of Supply Chain and Logistics Management; Master of Teaching Practice (Primary Education); Master of Teaching Practice (Secondary Education); Online Master of Commerce; Online Master of Human Resource Management; Online Master of Supply Chain and Logistics Management"
Royal Holloway University of London School of Business and Management,"American Literature and Creative Writing; Ancient History; Ancient History and Philosophy; Ancient History with Philosophy; Ancient and Medieval History; Classical Archaeology and Ancient History; Classical Studies; Classical Studies and Comparative Literature and Culture; Classical Studies and Philosophy; Classical Studies with Philosophy; Classics; Classics and Philosophy; Classics with Philosophy; Comparative Literature and Culture; Comparative Literature and Culture and Drama; Comparative Literature and Culture and English; Comparative Literature and Culture and Philosophy; Comparative Literature and Culture with International Film; Comparative Literature and Culture with Philosophy; Comparative Literature and Cultures with History of Art and Visual Culture; Drama and Philosophy; Drama and Theatre Studies; Drama with Philosophy; English; English and American Literature; English and Classical Studies; English and Creative Writing; English and Drama; English and Film Studies; English and History; English and Latin; English and Philosophy; English with Philosophy; Geography; History; History and Music; History and Philosophy; History of Art and Visual Culture and Comparative Literature and Culture; Human Geography; Liberal Arts; Liberal Arts with a Language Year Abroad; Liberal Arts with an International Year; Modern Languages; Modern Languages and Classical Studies; Modern Languages and Comparative Literature and Culture; Modern Languages and Drama; Modern Languages and English; Modern Languages and Greek; Modern Languages and History; Modern Languages and History of Art and Visual Cultures; Modern Languages and Latin; Modern Languages and Management; Modern Languages and Music; Modern Languages and Philosophy; Modern Languages with History of Art and Visual Cultures; Modern Languages with International Relations; Modern Languages with Music; Modern Languages with Philosophy; Modern and Contemporary History; Music and English; Music and Philosophy; Music with Philosophy; Music with Political Studies; Philosophy; Physical Geography; Translation Studies; Translation Studies and Comparative Literature and Culture; Translation Studies and Comparative Literature and Culture with a year abroad; Translation Studies and History of Art and Visual Culture; Translation Studies and History of Art and Visual Culture with a year abroad; Translation Studies with History of Art and Visual Culture; Translation Studies with History of Art and Visual Culture with a year abroad; Translation Studies with International Film; Translation Studies with International Film with a year abroad; Accounting and Finance; Accounting and Finance with a Year in Business; Business and Management; Business and Management (Year in Business); Finance and Mathematics; Management with Accounting; Management with Accounting (Year in Business); Management with Digital Innovation; Management with Digital Innovation (Year in Business); Management with Entrepreneurship; Management with Entrepreneurship (Year in Business); Management with Human Resources; Management with Human Resources (Year in Business); Management with International Business; Management with International Business (Year in Business); Management with Marketing; Management with Marketing (Year in Business); Computer Science; Computer Science (Artificial Intelligence); Computer Science (Artificial Intelligence) with a Year-in-Industry; Computer Science (Information Security); Computer Science (Information Security) with a Year-in-Industry; Computer Science (Software Engineering); Computer Science (Software Engineering) with a Year-in-Industry; Computer Science and Mathematics; Computer Science with a Year-in-Industry; Electronic Engineering; Electronic Engineering with a Year in Industry; MEng Electronic Engineering; MEng Electronic Engineering with a Year in Industry; MSci Computer Science; MSci Computer Science (Artificial Intelligence) with a Year-in-Industry; MSci Computer Science (Information Security); MSci Computer Science (Information Security) with Year-in-Industry; MSci Computer Science (Software Engineering); MSci Computer Science (Software Engineering) with a Year-in-Industry; MSci Computer Science with a Year-in-Industry; Applied Psychology; Biomedical Sciences; MSci Psychology; Psychology; Psychology, Clinical Psychology and Mental Health; Psychology, Development and Development Disorders; Zoology; Environmental Geology; Environmental Geology with a Year in Industry; Geology; MSci Environmental Geoscience; MSci Environmental Geoscience with Year in Industry; MSci Environmental Geoscience with a Year of International Study; MSci Geoscience with A Year of International Study; MSci Mathematics and Physics; MSci Physics; MSci Theoretical Physics; Mathematical Studies; Mathematics; Mathematics MSci; Mathematics and Music; Mathematics and Physics; Mathematics with French; Mathematics with German; Mathematics with Italian; Mathematics with Philosophy; Mathematics with Spanish; Mathematics with Statistics; Physics; Physics with Music; Physics with Particle Physics MSci; Physics with Philosophy; Theoretical Physics; BSc (Econ) Economics; BSc (Econ) Economics with French; BSc (Econ) Economics with German; BSc (Econ) Economics with Italian; BSc (Econ) Economics with Music; BSc (Econ) Economics with Political Studies; BSc (Econ) Economics with Spanish; BSc (Econ) Financial and Business Economics; Criminology and Psychology; Digital Media Culture and Technology; Economics and Management; Economics and Mathematics; Economics, Politics and International Relations; European and International Studies (German); European and International Studies (Spanish); Film Studies; Film Studies with Philosophy; Film, Television and Digital Production; International Relations; LLB Law; LLB Law with Criminology; LLB Law with Criminology with a Year in Industry; LLB Law with Sociology with a Year in Industry; Politics; Politics and International Relations; Politics and International Relations and Philosophy; Politics with Philosophy; Politics, International Relations and Modern Languages (French); Politics, International Relations and Modern Languages (Italian); Politics, Philosophy and Economics","Ancient History; Ancient History; Classical Reception; Classical Reception; Classics; Classics; Crusader Studies; Crusader Studies; Cultural Geography; Cultural Geography; English Literature; English Literature; European Philosophy; European Philosophy; Holocaust Studies; Holocaust Studies; Late Antique and Byzantine Studies; Late Antique and Byzantine Studies; Medieval Studies; Medieval Studies; Modern Philosophy; Modern Philosophy; Music (MMus); Music (MMus); Political Philosophy; Political Philosophy; Public History; Public History; Quaternary Science; Quaternary Science; Victorian Literature, Art and Culture; Victorian Literature, Art and Culture; Accounting and Financial Management; Business Analytics; Computational Finance; Computational Finance; Computational Finance with a year in industry; Computational Finance with a year in industry; Digital Business; Digital Marketing; Entrepreneurship and Innovation; Finance; Finance (2 year course); International Business Management; International Business Management (Marketing); International Business Management (Strategy and Leadership); Marketing; Project Management; Data Science and Analytics; Data Science and Analytics; Data Science and Analytics with a year in industry; Distributed and Networked Systems with a year in industry; Engineering Management; Information Security; Information Security; Information Security (via Distance Learning); Information Security with a Year in Industry; Applied Social Psychology; Applied Social Psychology; Clinical Psychology; Clinical Psychology; Forensic Psychology; Forensic Psychology; Environmental Diagnosis and Management; Environmental Diagnosis and Management; Mathematics for Applications; Mathematics for Applications; Mathematics of Cryptography and Communications; Mathematics of Cryptography and Communications; Physics; Physics; Physics Euromasters (2 year course); Sustainability and Management; Economics; Economics (Two-Year); Film, Television and Digital Production; Film, Television and Digital Production; Human Resource Management; International Media Management; International Public Policy; International Public Policy; International Relations; International Relations; International Security; International Security; MSc Logistics and Supply Chain Management; Media, Power and Public Affairs; Media, Power and Public Affairs; Politics of Development; Politics of Development; Social Work"
O.S. Popov Odessa National Academy of Telecommunications,,
Polytechnic University,,
Film and Television Institute of India,,
