University,UG Programs,PG Programs
Chapman Graduate School of Business - FIU,,
NIIT University,,
Grinnell College,,
Xi’an Jiaotong University,,
Gunma University,,
Indian Institute of Technology Madras (IITM),,
London College of Fashion,,
Universidad de Cienfuegos Carlos Rafael Rodríguez,,
Universidad Autónoma de Coahuila (UAdeC),Bachelor’s in Human Relations; Bachelor’s in Social Work; Bachelor’s in Economics; Bachelor of Business Administration with a Focus on Production; Bachelor’s in Business Administration (North Unit); Bachelor’s in Business Administration with Focus on Marketing; Bachelor’s in Foreign Trade and Customs (Torreón Unit); Bachelor’s in Human Resources Administration (North Unit); Bachelor’s in International Business (North Unit); Bachelor’s in Law (North Unit); Bachelor’s in Public Accounting (North Unit); Bachelor’s in Public Accounting (Torreón Unit); Bachelor’s in Business Administration (Torreón Unit); Bachelor of Business Administration; Degree in Public Accounting; Graduate in Human Resources Administration; Bachelor’s in Architecture; Bachelor’s in Biochemical Engineering (Torreón Unit); Bachelor’s in Chemical; Bachelor’s in Chemical Engineering; Bachelor’s in Chemist Pharmacobiologist; Bachelor’s in Civil Engineering (Torreón Unit); Bachelor in Organizational Communication and Public Relation; Bachelor’s in Communication in Media Production; Bachelor’s in Dental Surgeon; Bachelor’s in Dental Surgeon (Torreón Unit); Bachelor’s in Economics (Torreón Unit); Bachelor’s in Marketing (Torreón Unit); Bachelor’s in Civil Engineering; Bachelor’s in Electrical Mechanical Engineering; Bachelor’s in Managing Mechanical Engineering; Bachelor’s in Law; Bachelor’s in Marketing; Bachelor of Engineering in Industrial Electronics (North Unit); Bachelor’s in Computer Systems Engineering (North Unit); Bachelor’s in Mechanical Electrical Engineering (North Unit); Bachelor’s in Mechanical Electrical Engineering (Torreón Unit); Bachelor’s in Surgeon; Bachelor’s in Surgeon (North Unit); Bachelor’s in Surgeon (Torreón Unit); Bachelor’s in Metallurgist and Materials Chemical Engineering (North Unit); Bachelor’s in Nursing; Bachelor’s in Physical Engineering; Bachelor’s of Applied Mathematics; Bachelor’s in Communication Sciences (Torreón Unit); Bachelor’s in Political Science and Public Administration (Torreón Unit); Bachelor’s in Sociology (Torreón Unit); Bachelor of Psychology; Bachelor of Education Sciences; Bachelor’s in Social Work; Bachelor’s in Administrative Computer Systems (Torreón Unit); Bachelor’s in Automotive Engineering; Bachelor’s in Computer Systems Engineering; Bachelor’s in Electronics and Communications Engineering; Bachelor’s in Industrial and Systems Engineering; Bachelor’s in Industrial and Systems Engineering (Torreón Unit); Bachelor’s of Engineering in Information and Communication Technologies (Torreón Unit); Bachelor’s of Engineering in Information and Communications Technologies; Bachelor’s in Financial Administration (Torreón Unit); Bachelor’s in Tax Administration (Torreón Unit); Bachelor of Engineering in Mineral and Energy Resources (North Unit); Bachelor’s in Geologist Engineering (North Unit); Bachelor’s in Law (Torreón Unit); Bachelor’s in Nursing (Torreón Unit); Bachelor’s in Architecture (Torreón Unit); Bachelor’s in Nursing (North Unit); Bachelor’s in Nutrition (North Unit); Bachelor of Music; Bachelor of Plastic Arts; Bachelor's Degree in Graphic Design; Bachelor’s in Psychology (North Unit); Bachelor’s in Psychology (Torreón Unit); Bachelor’s in History; Bachelor’s in Computer Systems Engineering (North Unit); Bachelor’s in Industrial and Systems Engineering (North Unit),Master in Cultural Promotion and Development; Master in Hydrocarbon Geology; Master in Administrative Tax Law; Master in Health and Safety Administration; Master of Administration (Monclova); Master of Administration and Senior Management; Master in Strategic Management; Master of Administration (Saltillo Unit); Master of Architecture; Master in Biochemical Engineering; Master in Energy and Energy Sustainability; Master in Food Science and Technology; Master in Materials Science and Technology; Master of Science and Chemical Technology; Master of Science in Engineering with emphasis in Construction; Master of Dental Sciences (Torreón); Master of Dental Sciences accent. Periodontics; Master in Economics; Master in Economic and Social Analysis; Master in Mechanical Engineering accentuation in Materials - Saltillo; Master in Valuation; Master of Laws; Master in Marketing and Social Innovation; Master in Electrical Engineering; Master in Mechanical Engineering - Torreón; Master of Science in Metal Mechanical Engineering; Master in Clinical Research; Master in Geriatrics; Master in Multidisciplinary Health Research; Master of Science and Technology of Metallurgy; Master of Educational Mathematics; Master of Social Sciences for Interdisciplinary Development; Master in Research Methodology; Master of Science in Education; Master of Applied Engineering; Master in Tax; Master of Administration (Torreón); Master in Exploration and Sustainable Use of Mineral Resources; Master in Nursing with emphasis on Nursing Care for the Elderly; Master in Data Science and Optimization; Master of Ontological Sciences - accentuation in Advanced Prosthodontics; Master in Human Rights with International and Comparative Perspective; Master in Social Research; Master in Tax Contributions (Monclova); Master in Tax Contributions (Torreón); Master of Clinical Psychology; Master in History of the Mexican Northeast and Texas; Master in Regional Economics
Communication University of China,,
