University,UG Programs,PG Programs
École d'Ingénieurs ISEN,,
Illinois Institute of Technology,"Bachelor of Architecture; Bachelor of Science in Business Administration; Dual Degree of Bachelor of Information Technology and Management / Bachelor of Science in Business Administration; Dual Degree of Bachelor of Science in Computer Information Systems / Bachelor of Science in Business Administration; Bachelor of Architecture / Master of Engineering in Construction Engineering and Management; Bachelor of Industrial Technology and Management; Bachelor of Industrial Technology and Management / Master of Industrial Technology and Operations; Bachelor of Information Technology and Management; Bachelor of Information Technology and Management / Bachelor of Industrial Technology and Management; Bachelor of Information Technology and Management / Master of Cyber Forensics and Security (Accelerated Master's Program); Bachelor of Information Technology and Management / Master of Information Technology and Management (Accelerated Master's Program); Bachelor of Information Technology and Management: Transfer Program; Bachelor of Science in Aerospace Engineering; Bachelor of Science in Aerospace Engineering / Master of Engineering in Materials Science and Engineering; Bachelor of Science in Aerospace Engineering / Master of Engineering in Mechanical and Aerospace Engineering; Bachelor of Science in Applied Cybersecurity and Information Technology; Bachelor of Science in Architectural Engineering; Bachelor of Science in Architectural Engineering / Master of Engineering in Architectural Engineering; Bachelor of Science in Architectural Engineering / Master of Engineering in Construction Engineering and Management; Bachelor of Science in Architectural Engineering / Master of Engineering in Structural Engineering; Bachelor of Science in Artificial Intelligence; Bachelor of Science in Biology / Master of Science in Computer Science (Accelerated Master’s Program); Bachelor of Science in Biomedical Engineering / Master of Biomedical Imaging and Signals; Bachelor of Science in Biomedical Engineering / Master of Chemical Engineering; Bachelor of Science in Biomedical Engineering / Master of Science in Biology for the Health Professions; Bachelor of Science in Biomedical Engineering: Cell and Tissue Engineering Track; Bachelor of Science in Biomedical Engineering: Medical Imaging Track; Bachelor of Science in Biomedical Engineering: Neural Engineering Track; Bachelor of Science in Chemical Engineering; Bachelor of Science in Chemical Engineering / Master of Food Process Engineering (Accelerated Master’sProgram); Bachelor of Science in Chemistry / Master of Chemical Engineering (Accelerated Master’sProgram); Bachelor of Science in Civil Engineering; Bachelor of Science in Computer Engineering; Bachelor of Science in Computer Engineering / Master of Computer Science (Accelerated Master's Program); Bachelor of Science in Computer Engineering / Master of Science in Computer Science (Accelerated Master's Program); Bachelor of Science in Computer Information Systems; Bachelor of Science in Computer Science; Bachelor of Science in Computer Science / Master of Data Science; Bachelor of Science in Computer Science / Master of Intellectual Property Management and Markets (Accelerated Master’s Program); Bachelor of Science in Computer Science / Master of Science in Applied Mathematics (Accelerated Master’s Program); Bachelor of Science in Computer Science / Master of Science in Applied Mathematics (Accelerated Master’s); Bachelor of Science in Computer and Cybersecurity Engineering; Bachelor of Science in Electrical Engineering; Bachelor of Science in Engineering Management; Bachelor of Science in Materials Science and Engineering; Bachelor of Science in Mechanical Engineering; Bachelor of Science in Physics / Master of Computer Science (Accelerated Master’s Program); Bachelor of Science in Physics / Master of Science in Computer Science (Accelerated Master’s Program); Dual Degree of Bachelor of Information Technology and Management / Bachelor of Science in Communication: Journalism of Technology and Business; Dual Degree of Bachelor of Science in Aerospace Engineering / Bachelor of Science in Materials Science Engineering; Dual Degree of Bachelor of Science in Aerospace Engineering / Bachelor of Science in Mechanical Engineering; Bachelor of Science in Behavioral Health and Wellness; Bachelor of Science in Biochemistry; Bachelor of Science in Biochemistry / Master of Food Safety and Technology (Accelerated Master’s Program); Bachelor of Science in Biochemistry / Master of Science in Biology for the Health Professions (Accelerated Master’s Program); Bachelor of Science in Biochemistry / Master of Science in Biology with Specialization in Biochemistry (Accelerated Master’s Program); Bachelor of Science in Bioinformatics; Bachelor of Science in Biology; Bachelor of Science in Biology / Master of Computer Science (Accelerated Master's Program); Bachelor of Science in Biology / Master of Food Safety and Technology ( Accelerated Master’sProgram); Bachelor of Science in Biology / Master of Science in Biology (Accelerated Master’s Program); Bachelor of Science in Biology / Master of Science in Biology for the Health Professions (Accelerated Master’s Program); Bachelor of Science in Biology / Master of Science in Molecular Biochemistry and Biophysics; Bachelor of Science in Molecular Biochemistry and Biophysics; Bachelor of Science in Psychological Science; Dual Degree of Bachelor of Science in Biochemistry / Bachelor of Science in Psychological Science; Dual Degree of Bachelor of Science in Biology / Bachelor of Science in Psychological Science; Bachelor of Science in Applied Mathematics; Bachelor of Science in Applied Mathematics / Master of Computer Science (Accelerated Master’s); Bachelor of Science in Applied Mathematics / Master of Data Science (Accelerated Master’s); Bachelor of Science in Applied Mathematics / Master of Mathematical Finance (Accelerated Master’s); Bachelor of Science in Applied Mathematics / Master of Science in Applied Mathematics (Accelerated Master’s); Bachelor of Science in Applied Mathematics / Master of Science in Computer Science (Accelerated Master’s); Bachelor of Science in Applied Physics; Bachelor of Science in Astrophysics; Bachelor of Science in Bioanalytical Chemistry; Bachelor of Science in Chemistry; Bachelor of Science in Chemistry / Master of Food Safety and Technology (Accelerated Master’s Program); Bachelor of Science in Chemistry / Master of Science in Chemistry (Accelerated Master’sProgram); Bachelor of Science in Chemistry / Master of Science in Environmental Management and Sustainability (Accelerated Master’s Program); Bachelor of Science in Computational Chemistry and Biochemistry; Bachelor of Science in Data Science; Bachelor of Science in Environmental Chemistry; Bachelor of Science in Environmental Chemistry / Master of Science in Chemistry (Accelerated Master’s Program); Bachelor of Science in Food Science and Nutrition; Bachelor of Science in Forensic Chemistry; Bachelor of Science in Forensic Chemistry / Master of Science in Chemistry (Accelerated Master’s Program); Bachelor of Science in Medicinal Chemistry; Bachelor of Science in Medicinal Chemistry / Master of Science in Chemistry (Accelerated Master’s Program); Bachelor of Science in Physics; Bachelor of Science in Physics / Master of Health Physics (Accelerated Master’s Program); Bachelor of Science in Physics / Master of Science in Physics (Accelerated Master’s Program); Dual Degree of Bachelor of Science in Biochemistry / Bachelor of Science in Medicinal Chemistry; Bachelor of Science in Communication; Bachelor of Science in Digital Humanities; Bachelor of Science in Global Studies; Bachelor of Science in Humanities; Bachelor of Science in Science, Technology, and Society; Bachelor of Science in Social and Economic Development Policy; Bachelor of Science in Social and Economic Development Policy / Master of Public Policy and Administration (Accelerated Master’s Program); Bachelor of Science in Statistics","Dual Degree of Master of Architecture/ Master of Landscape Architecture; Dual Degree of Master of Design + MBA; Dual Degree of Master of Design + MPPA; Master of Architecture; Master of Design; Master of Design Methods; Master of Engineering in Environmental Engineering; Master of Landscape Architecture + Urbanism; Master of Science in Architecture; Master of Science in Technical Communication and Information Architecture; Master of Tall Buildings and Vertical Urbanism; Master of Public Policy and Administration (M.P.P.A.); Master of Science in Environmental Management and Sustainability; Master of Science in Finance; Master of Science in Management Science; Master of Science in Marketing Analytics; Master of Technological Entrepreneurship; Dual Degree of Master of Science in Computer Engineering and Electrical Engineering; Master of Artificial Intelligence; Master of Biological Engineering; Master of Chemical Engineering; Master of Computational Engineering, Biomedicine Track; Master of Computational Engineering, Computational Chemical Engineering Track; Master of Computational Engineering, Computational Mechanics Track; Master of Computational Engineering, Optimization, Machine Vision, and Decision-Making Track; Master of Computer Engineering in Internet of Things (IoT); Master of Computer Science; Master of Cyber Forensics and Security; Master of Cybersecurity; Master of Cybersecurity Engineering; Master of Data Science; Master of Electrical and Computer Engineering; Master of Electrical and Computer Engineering with Specialization in Energy / Environment / Economics (E3); Master of Electricity Markets; Master of Engineering Management, Product Design and Development Track; Master of Engineering Management, Project Management Track; Master of Engineering in Advanced Manufacturing, Automation and Control Systems Track; Master of Engineering in Advanced Manufacturing, Digital Manufacturing Track; Master of Engineering in Architectural Engineering; Master of Engineering in Artificial Intelligence for Computer Vision and Control; Master of Engineering in Biomedical Engineering; Master of Engineering in Biomedical Imaging and Signals; Master of Engineering in Construction Engineering and Management; Master of Engineering in Energy Systems, Energy Conservation, and Buildings Track; Master of Engineering in Energy Systems, Energy Generation, and Sustainability Track; Master of Engineering in Energy Systems, Energy Transmission, and Markets Track; Master of Engineering in Environmental Engineering with Specialization in Energy / Environment / Economics (E3); Master of Engineering in Manufacturing Engineering; Master of Engineering in Manufacturing Engineering via the internet; Master of Engineering in Materials Science and Engineering; Master of Engineering in Materials Science and Engineering with Specialization in Energy / Environment / Economics (E3); Master of Engineering in Mechanical and Aerospace Engineering; Master of Engineering in Mechanical and Aerospace Engineering with Specialization in Energy / Environment / Economics (E3); Master of Engineering in Public Works (Infrastructure Engineering and Management); Master of Engineering in Structural Engineering; Master of Engineering in Transportation Engineering; Master of Engineering in Urban Systems Engineering; Master of Engineering in Wireless Communications and Computer Networks; Master of High Performance Buildings; Master of Industrial Technology and Operations; Master of Network Engineering; Master of Pharmaceutical Engineering; Master of Power Engineering; Master of Science in Applied Cybersecurity and Digital Forensics; Master of Science in Architectural Engineering; Master of Science in Autonomous Systems and Robotics; Master of Science in Biomedical Data Science and Modeling; Master of Science in Chemical Engineering; Master of Science in Chemical Engineering with E3 specialization; Master of Science in Civil Engineering; Master of Science in Computer Engineering; Master of Science in Computer Science; Master of Science in Electrical Engineering; Master of Science in Environmental Engineering; Master of Science in Environmental Engineering with Specialization in Energy / Environment / Economics (E3); Master of Science in Manufacturing Engineering; Master of Science in Materials Science and Engineering; Master of Science in Materials Science and Engineering with Specialization in Energy/Environment/Economics (E3); Master of Science in Mechanical and Aerospace Engineering; Master of Science in Medical Devices and Biomaterials; Master of Science in Technology and Humanities; Master of Software Development; Master of Telecommunications and Software Engineering; Master of VLSI and Microelectronics; Masters in Information Technology and Management; Master of Science in Biology; Master of Science in Biology for the Health Professions; Master of Science in Biomedical Engineering; Master of Science in Clinical Counseling with specializations in Clinical Rehabilitation Counseling and Clinical Mental Health Counseling; Master of Science in Computational Decision Science and Operations Research; Master of Science in Industrial-Organizational Psychology; Master of Science in Molecular Biochemistry and Biophysics; Master of Science in Rehabilitation and Mental Health Counseling; Master of Applied Mathematics; Master of Chemistry in Analytical Chemistry; Master of Chemistry in Materials Chemistry; Master of Food Process Engineering; Master of Food Safety and Technology; Master of Health Physics; Master of Science in Applied Mathematics; Master of Science in Applied Physics; Master of Science in Chemistry; Master of Science in Food Process Engineering; Master of Science in Food Safety and Technology; Master of Science in Nutrition Science; Master of Science in Physics; Master of Science in Sensor Science and Technology; Joint Degree in J.D. / LL.M. in Global Business and Financial Law; Joint Degree in J.D. / MS in Finance; Joint Degree in J.D./M.B.A.; Joint Degree in J.D./M.P.P.A. Program; Joint Degree in J.D./M.S. in Environmental Management and Sustainability; LL.M in International Intellectual Property Law; LL.M. in Global Business and Financial Law; LL.M. in Legal Innovation and Technology; LL.M. in Trial Advocacy for International Students; LL.M. in U.S., International and Transnational Law; Master of Intellectual Property Management and Markets; Master of Science in People Analytics"
TRAKYA UNIVERSITY,,
NEWTON University,,
Georgetown Public Policy Institute,,
Universia Perú,,
Universidad Jesuita de Guadalajara,,
South China Normal University,,
CONSTANTINE THE PHILOSOPHER UNIVERSITY IN NITRA,,
Ecole Nationale Superieure des Arts Decoratifs (ENSAD),,
