University,Year,Rank
Hong Kong Shue Yan University,2023 #=198,#=198
Hong Kong Shue Yan University,2024 #=180,#=180
Norwegian University of Life Sciences,2024 #1201-1400,#1201-1400
Universidade Federal da Paraíba,2022 #1201+,#1201+
Universidade Federal da Paraíba,2023 #1201-1400,#1201-1400
Universidade Federal da Paraíba,2024 #1401+,#1401+
Universidad Argentina John F. Kennedy,2013 #251-300,#251-300
Universidad Argentina John F. Kennedy,2014 #201-250,#201-250
Universidad Argentina John F. Kennedy,2015 #201-300,#201-300
Universidad Argentina John F. Kennedy,2016 #251-300,#251-300
Universidad Argentina John F. Kennedy,2018 #301-400,#301-400
Universidad Argentina John F. Kennedy,2019 #351+,#351+
Universidad Argentina John F. Kennedy,2020 #351-400,#351-400
Cornell University,2012 #14,#14
Cornell University,2014 #15,#15
Cornell University,2015 #19,#19
Cornell University,2016 #17,#17
Cornell University,2017 #16,#16
Cornell University,2018 #14,#14
Cornell University,2019 #14,#14
Cornell University,2020 #14,#14
Cornell University,2021 #18,#18
Cornell University,2022 #21,#21
Cornell University,2023 #20,#20
Cornell University,2024 #13,#13
Wageningen University & Research,2012 #161,#161
Wageningen University & Research,2014 #150,#150
Wageningen University & Research,2015 #=151,#=151
Wageningen University & Research,2016 #=135,#=135
Wageningen University & Research,2017 #119,#119
Wageningen University & Research,2018 #124,#124
Wageningen University & Research,2019 #125,#125
Wageningen University & Research,2020 #125,#125
Wageningen University & Research,2021 #115,#115
Wageningen University & Research,2022 #123,#123
Wageningen University & Research,2023 #124,#124
Wageningen University & Research,2024 #=151,#=151
Universidad de El Salvador - UES,2024 #=67,#=67
Academy of Sciences of the Czech Republic,2023 #401-450,#401-450
Academy of Sciences of the Czech Republic,2023 #451-500,#451-500
Academy of Sciences of the Czech Republic,2023 #345,#345
Academy of Sciences of the Czech Republic,2023 #253,#253
Academy of Sciences of the Czech Republic,2023 #301-350,#301-350
"Government College University, Faisalabad",2023 #351-400,#351-400
Amsterdam Business School,2018 #60,#60
Amsterdam Business School,2019 #54,#54
Amsterdam Business School,2020 #43,#43
Ataturk University,2023 #1401+,#1401+
Ataturk University,2024 #1401+,#1401+
Universitas Amikom Yogyakarta,2023 #751+,#751+
Moscow State Conservatory P. I. Tchaikovsky,2016 #27,#27
Moscow State Conservatory P. I. Tchaikovsky,2017 #41,#41
Moscow State Conservatory P. I. Tchaikovsky,2020 #44,#44
Moscow State Conservatory P. I. Tchaikovsky,2021 #34,#34
Moscow State Conservatory P. I. Tchaikovsky,2022 #12,#12
Moscow State Conservatory P. I. Tchaikovsky,2023 #10,#10
Swarthmore College,2023 #501-510,#501-510
Swarthmore College,2024 #741-750,#741-750
Universidad Católica de El Salvador,2024 #=81,#=81
SUNY Oswego,2020 #201-250,#201-250
SUNY Oswego,2021 #201-250,#201-250
National Aviation University,2024 #=81,#=81
Medizinische Hochschule Hannover,2015 #101-150,#101-150
Medizinische Hochschule Hannover,2016 #101-150,#101-150
Medizinische Hochschule Hannover,2017 #51-100,#51-100
Medizinische Hochschule Hannover,2017 #127,#127
Medizinische Hochschule Hannover,2018 #101-150,#101-150
Medizinische Hochschule Hannover,2018 #201-250,#201-250
Medizinische Hochschule Hannover,2018 #=131,#=131
Medizinische Hochschule Hannover,2019 #101-150,#101-150
Medizinische Hochschule Hannover,2019 #151-200,#151-200
Medizinische Hochschule Hannover,2019 #=141,#=141
