University,Year,Rank
Zhangir khan West Kazakhstan Agrarian Technical University,2023 #=23,#=23
Zhangir khan West Kazakhstan Agrarian Technical University,2024 #=24,#=24
RMIT University,2012 #246,#246
RMIT University,2014 #=291,#=291
RMIT University,2015 #304,#304
RMIT University,2016 #=273,#=273
RMIT University,2017 #=252,#=252
RMIT University,2018 #=247,#=247
RMIT University,2019 #=250,#=250
RMIT University,2020 #238,#238
RMIT University,2021 #223,#223
RMIT University,2022 #206,#206
RMIT University,2023 #=190,#=190
RMIT University,2024 #140,#140
Royal Holloway University of London School of Business and Management,2012 #267,#267
Royal Holloway University of London School of Business and Management,2014 #=265,#=265
Royal Holloway University of London School of Business and Management,2015 #=275,#=275
Royal Holloway University of London School of Business and Management,2016 #231,#231
Royal Holloway University of London School of Business and Management,2017 #235,#235
Royal Holloway University of London School of Business and Management,2018 #=259,#=259
Royal Holloway University of London School of Business and Management,2019 #236,#236
Royal Holloway University of London School of Business and Management,2020 #291,#291
Royal Holloway University of London School of Business and Management,2021 #308,#308
Royal Holloway University of London School of Business and Management,2022 #=334,#=334
Royal Holloway University of London School of Business and Management,2023 #=402,#=402
Royal Holloway University of London School of Business and Management,2024 #=413,#=413
O.S. Popov Odessa National Academy of Telecommunications,2022 #401-450,#401-450
George Mason University,2014 #601-650,#601-650
George Mason University,2015 #601-650,#601-650
George Mason University,2016 #651-700,#651-700
George Mason University,2017 #651-700,#651-700
George Mason University,2018 #801-1000,#801-1000
George Mason University,2019 #801-1000,#801-1000
George Mason University,2020 #801-1000,#801-1000
George Mason University,2021 #801-1000,#801-1000
George Mason University,2022 #801-1000,#801-1000
George Mason University,2023 #1001-1200,#1001-1200
George Mason University,2024 #951-1000,#951-1000
Universidade Salvador (UNIFACS),2024 #=269,#=269
South China Normal University,2024 #1201+,#1201+
Southwestern University of Finance and Economics,2019 #301-350,#301-350
Southwestern University of Finance and Economics,2020 #301-350,#301-350
Southwestern University of Finance and Economics,2021 #301-350,#301-350
Southwestern University of Finance and Economics,2022 #351-400,#351-400
Southwestern University of Finance and Economics,2023 #351-400,#351-400
Royal Holloway University of London School of Business and Management,2012 #267,#267
Royal Holloway University of London School of Business and Management,2014 #=265,#=265
Royal Holloway University of London School of Business and Management,2015 #=275,#=275
Royal Holloway University of London School of Business and Management,2016 #231,#231
Royal Holloway University of London School of Business and Management,2017 #235,#235
Royal Holloway University of London School of Business and Management,2018 #=259,#=259
Royal Holloway University of London School of Business and Management,2019 #236,#236
Royal Holloway University of London School of Business and Management,2020 #291,#291
Royal Holloway University of London School of Business and Management,2021 #308,#308
Royal Holloway University of London School of Business and Management,2022 #=334,#=334
Royal Holloway University of London School of Business and Management,2023 #=402,#=402
Royal Holloway University of London School of Business and Management,2024 #=413,#=413
Universidad Científica del Sur,2024 #=192,#=192
Arabian Gulf University,2015 #501-550,#501-550
Arabian Gulf University,2016 #491-500,#491-500
Arabian Gulf University,2017 #461-470,#461-470
Arabian Gulf University,2018 #411-420,#411-420
Nagaoka University of Technology,2024 #=155,#=155
Taiyuan University of Technology,2020 #351-400,#351-400
Taiyuan University of Technology,2021 #351-400,#351-400
