University,Year,Rank
Tecnológico de Monterrey,2012 #=306,#=306
Tecnológico de Monterrey,2014 #=279,#=279
Tecnológico de Monterrey,2015 #253,#253
Tecnológico de Monterrey,2016 #238,#238
Tecnológico de Monterrey,2017 #=206,#=206
Tecnológico de Monterrey,2018 #199,#199
Tecnológico de Monterrey,2019 #178,#178
Tecnológico de Monterrey,2020 #158,#158
Tecnológico de Monterrey,2021 #155,#155
Tecnológico de Monterrey,2022 #=161,#=161
Tecnológico de Monterrey,2023 #170,#170
Tecnológico de Monterrey,2024 #=184,#=184
Universidad de Lima,2020 #801-1000,#801-1000
Universidad de Lima,2021 #1001+,#1001+
Universidad de Lima,2022 #1001-1200,#1001-1200
Universidad de Lima,2023 #1001-1200,#1001-1200
Universidad de Lima,2024 #1001-1200,#1001-1200
Tecnológico de Monterrey,2012 #=306,#=306
Tecnológico de Monterrey,2014 #=279,#=279
Tecnológico de Monterrey,2015 #253,#253
Tecnológico de Monterrey,2016 #238,#238
Tecnológico de Monterrey,2017 #=206,#=206
Tecnológico de Monterrey,2018 #199,#199
Tecnológico de Monterrey,2019 #178,#178
Tecnológico de Monterrey,2020 #158,#158
Tecnológico de Monterrey,2021 #155,#155
Tecnológico de Monterrey,2022 #=161,#=161
Tecnológico de Monterrey,2023 #170,#170
Tecnológico de Monterrey,2024 #=184,#=184
Universidad de Lima,2020 #801-1000,#801-1000
Universidad de Lima,2021 #1001+,#1001+
Universidad de Lima,2022 #1001-1200,#1001-1200
Universidad de Lima,2023 #1001-1200,#1001-1200
Universidad de Lima,2024 #1001-1200,#1001-1200
Tecnológico de Monterrey,2012 #=306,#=306
Tecnológico de Monterrey,2014 #=279,#=279
Tecnológico de Monterrey,2015 #253,#253
Tecnológico de Monterrey,2016 #238,#238
Tecnológico de Monterrey,2017 #=206,#=206
Tecnológico de Monterrey,2018 #199,#199
Tecnológico de Monterrey,2019 #178,#178
Tecnológico de Monterrey,2020 #158,#158
Tecnológico de Monterrey,2021 #155,#155
Tecnológico de Monterrey,2022 #=161,#=161
Tecnológico de Monterrey,2023 #170,#170
